Order ID,Order Date,Customer ID,Product ID,Sales
CA-2017-152156,08/11/2017,CG-12520,FUR-BO-10001798,261.96
CA-2017-152156,08/11/2017,CG-12520,FUR-CH-10000454,731.94
CA-2017-138688,12/06/2017,DV-13045,OFF-LA-10000240,14.62
US-2016-108966,11/10/2016,SO-20335,FUR-TA-10000577,957.58
US-2016-108966,11/10/2016,SO-20335,OFF-ST-10000760,22.37
CA-2015-115812,09/06/2015,BH-11710,FUR-FU-10001487,48.86
CA-2015-115812,09/06/2015,BH-11710,OFF-AR-10002833,7.28
CA-2015-115812,09/06/2015,BH-11710,TEC-PH-10002275,907.15
CA-2015-115812,09/06/2015,BH-11710,OFF-BI-10003910,18.5
CA-2015-115812,09/06/2015,BH-11710,OFF-AP-10002892,114.9
CA-2015-115812,09/06/2015,BH-11710,FUR-TA-10001539,1706.18
CA-2015-115812,09/06/2015,BH-11710,TEC-PH-10002033,911.42
CA-2018-114412,15/04/2018,AA-10480,OFF-PA-10002365,15.55
CA-2017-161389,05/12/2017,IM-15070,OFF-BI-10003656,407.98
US-2016-118983,22/11/2016,HP-14815,OFF-AP-10002311,68.81
US-2016-118983,22/11/2016,HP-14815,OFF-BI-10000756,2.54
CA-2015-105893,11/11/2015,PK-19075,OFF-ST-10004186,665.88
CA-2015-167164,13/05/2015,AG-10270,OFF-ST-10000107,55.5
CA-2015-143336,27/08/2015,ZD-21925,OFF-AR-10003056,8.56
CA-2015-143336,27/08/2015,ZD-21925,TEC-PH-10001949,213.48
CA-2015-143336,27/08/2015,ZD-21925,OFF-BI-10002215,22.72
CA-2017-137330,09/12/2017,KB-16585,OFF-AR-10000246,19.46
CA-2017-137330,09/12/2017,KB-16585,OFF-AP-10001492,60.34
US-2018-156909,16/07/2018,SF-20065,FUR-CH-10002774,71.37
CA-2016-106320,25/09/2016,EB-13870,FUR-TA-10000577,1044.63
CA-2017-121755,16/01/2017,EH-13945,OFF-BI-10001634,11.65
CA-2017-121755,16/01/2017,EH-13945,TEC-AC-10003027,90.57
US-2016-150630,17/09/2016,TB-21520,FUR-BO-10004834,3083.43
US-2016-150630,17/09/2016,TB-21520,OFF-BI-10000474,9.62
US-2016-150630,17/09/2016,TB-21520,FUR-FU-10004848,124.2
US-2016-150630,17/09/2016,TB-21520,OFF-EN-10001509,3.26
US-2016-150630,17/09/2016,TB-21520,OFF-AR-10004042,86.3
US-2016-150630,17/09/2016,TB-21520,OFF-BI-10001525,6.86
US-2016-150630,17/09/2016,TB-21520,OFF-AR-10001683,15.76
CA-2018-107727,19/10/2018,MA-17560,OFF-PA-10000249,29.47
CA-2017-117590,08/12/2017,GH-14485,TEC-PH-10004977,1097.54
CA-2017-117590,08/12/2017,GH-14485,FUR-FU-10003664,190.92
CA-2016-117415,27/12/2016,SN-20710,OFF-EN-10002986,113.33
CA-2016-117415,27/12/2016,SN-20710,FUR-BO-10002545,532.4
CA-2016-117415,27/12/2016,SN-20710,FUR-CH-10004218,212.06
CA-2016-117415,27/12/2016,SN-20710,TEC-PH-10000486,371.17
CA-2018-120999,10/09/2018,LC-16930,TEC-PH-10004093,147.17
CA-2017-101343,17/07/2017,RA-19885,OFF-ST-10003479,77.88
CA-2018-139619,19/09/2018,ES-14080,OFF-ST-10003282,95.62
CA-2017-118255,11/03/2017,ON-18715,TEC-AC-10000171,45.98
CA-2017-118255,11/03/2017,ON-18715,OFF-BI-10003291,17.46
CA-2015-146703,20/10/2015,PO-18865,OFF-ST-10001713,211.96
CA-2017-169194,20/06/2017,LH-16900,TEC-AC-10002167,45
CA-2017-169194,20/06/2017,LH-16900,TEC-PH-10003988,21.8
CA-2016-115742,18/04/2016,DP-13000,OFF-BI-10004410,38.22
CA-2016-115742,18/04/2016,DP-13000,OFF-LA-10002762,75.18
CA-2016-115742,18/04/2016,DP-13000,FUR-FU-10001706,6.16
CA-2016-115742,18/04/2016,DP-13000,FUR-CH-10003061,89.99
CA-2017-105816,11/12/2017,JM-15265,OFF-FA-10000304,15.26
CA-2017-105816,11/12/2017,JM-15265,TEC-PH-10002447,1029.95
CA-2017-111682,17/06/2017,TB-21055,OFF-ST-10000604,208.56
CA-2017-111682,17/06/2017,TB-21055,OFF-PA-10001569,32.4
CA-2017-111682,17/06/2017,TB-21055,FUR-CH-10003968,319.41
CA-2017-111682,17/06/2017,TB-21055,OFF-PA-10000587,14.56
CA-2017-111682,17/06/2017,TB-21055,TEC-AC-10002167,30
CA-2017-111682,17/06/2017,TB-21055,OFF-BI-10001460,48.48
